index,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
0,No Time to Die,2021,7.6,107163,Action; Adventure; Thriller,163,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
1,The Guilty,2021,6.3,64375,Crime; Drama; Thriller,90,Film,R,-,None,None,Severe,None,Moderate
2,The Many Saints of Newark,2021,6.4,27145,Crime; Drama,120,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
3,Venom: Let There Be Carnage,2021,6.4,30443,Action; Adventure; Sci-Fi,97,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
4,Dune,2021,8.3,84636,Action; Adventure; Drama,155,Film,PG-13,-,None,Moderate,None,Mild,Moderate
5,Ted Lasso,2021,8.8,117562,Comedy; Drama; Sport,30,Series,TV-MA,23,Mild,None,Severe,Mild,None
6,Free Guy,2021,7.3,153835,Action; Adventure; Comedy,115,Film,PG-13,-,Mild,Moderate,Moderate,None,Mild
7,House of the Dragon,2021,0.0,0,Action; Adventure; Drama,0,Series,None,10,No Rate,No Rate,No Rate,No Rate,No Rate
8,What If...?,2021,7.6,51959,Animation; Action; Adventure,0,Series,TV-14,18,None,Moderate,Mild,Mild,Moderate
9,Sex Education,2021,8.3,220201,Comedy; Drama,45,Series,TV-MA,25,Severe,Mild,Severe,Moderate,Mild
10,The Walking Dead,2021,8.2,906327,Drama; Horror; Thriller,44,Series,TV-14,177,Mild,Severe,Moderate,Mild,Severe
11,The Chestnut Man,2021,7.9,15434,Crime; Drama; Mystery,50,Series,TV-MA,6,Mild,Moderate,Mild,None,Moderate
12,Foundation,2021,7.4,16675,Drama; Sci-Fi,0,Series,TV-14,11,Mild,Moderate,Mild,No Rate,Mild
13,The Sopranos,2021,9.2,340006,Crime; Drama,55,Series,TV-MA,86,Severe,Severe,Severe,Severe,Severe
14,Only Murders in the Building,2021,8.3,22988,Comedy; Crime; Drama,0,Series,TV-MA,11,Mild,Moderate,Severe,Mild,Mild
15,American Horror Story,2021,8.0,296306,Drama; Horror; Thriller,60,Series,TV-MA,116,Severe,Severe,Severe,Severe,Severe
16,Seinfeld,2021,8.8,272028,Comedy,22,Series,TV-PG,174,Mild,Mild,Mild,Mild,None
17,Grey's Anatomy,2021,7.5,275094,Drama; Romance,41,Series,TV-14,384,Moderate,Severe,Mild,Moderate,Moderate
18,Game of Thrones,2021,9.2,1885776,Action; Adventure; Drama,57,Series,TV-MA,73,Severe,Severe,Severe,Moderate,Severe
19,Black Widow,2021,6.8,246603,Action; Adventure; Sci-Fi,134,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
20,The Last Duel,2021,7.7,6498,Action; Drama; History,152,Film,R,-,Severe,Severe,Moderate,Mild,Severe
21,Alice in Borderland,2021,7.7,33151,Action; Fantasy; Mystery,50,Series,TV-MA,9,Moderate,Severe,Mild,Mild,Severe
22,Shang-Chi and the Legend of the Ten Rings,2021,7.9,109552,Action; Adventure; Fantasy,132,Film,PG-13,-,None,Moderate,Mild,Mild,Mild
23,Billions,2021,8.4,80562,Drama,60,Series,TV-MA,72,Moderate,None,Severe,Moderate,None
24,Resident Evil: Welcome to Raccoon City,2021,0.0,0,Action; Horror; Mystery,107,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
25,Spectre,2015,6.8,407514,Action; Adventure; Thriller,148,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
26,Casino Royale,2006,8.0,613873,Action; Adventure; Thriller,144,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
27,Lucifer,2006,8.1,288801,Crime; Drama; Fantasy,42,Series,TV-14,93,Mild,Mild,Mild,Moderate,Mild
28,The Morning Show,2006,8.4,73736,Drama,60,Series,TV-MA,20,Mild,None,Severe,Mild,Mild
29,Halloween Kills,2021,6.1,20383,Horror; Thriller,105,Film,R,-,None,Severe,Severe,Mild,Severe
30,There's Someone Inside Your House,2021,4.8,7724,Horror; Mystery; Thriller,96,Film,TV-MA,-,Mild,Severe,Moderate,Moderate,Moderate
31,Malignant,2021,6.3,53310,Crime; Horror; Mystery,111,Film,R,-,None,Severe,Moderate,None,Severe
32,Wolf,2021,4.1,229,Drama; Mystery; Thriller,98,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
33,La casa de papel,2021,8.2,393487,Action; Crime; Drama,70,Series,TV-MA,41,Moderate,Moderate,Moderate,Mild,Moderate
34,Tick Tick... Boom!,2021,0.0,0,Biography; Drama; Musical,115,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
35,The Night House,2020,6.5,14936,Horror; Mystery; Thriller,107,Film,R,-,Mild,Moderate,Moderate,Moderate,Severe
36,Succession,2020,8.7,66106,Drama,60,Series,TV-MA,29,Moderate,Mild,Severe,Moderate,None
37,La Brea,2020,5.2,3198,Drama; Mystery; Sci-Fi,0,Series,TV-14,5,None,Mild,No Rate,Mild,Mild
38,Venom,2018,6.7,414787,Action; Adventure; Sci-Fi,112,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
39,Skyfall,2012,7.8,658977,Action; Adventure; Thriller,143,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
40,NCIS: Naval Criminal Investigative Service,2012,7.7,130626,Action; Crime; Drama,60,Series,TV-14,420,Mild,Moderate,Mild,Mild,Moderate
41,See,2012,7.6,59581,Action; Drama; Sci-Fi,60,Series,TV-MA,17,Moderate,Severe,Moderate,None,Moderate
42,The Addams Family 2,2021,5.3,3798,Animation; Adventure; Comedy,93,Film,PG,-,Mild,Moderate,None,None,Mild
43,Big Sky,2021,6.8,11483,Crime; Drama; Mystery,60,Series,TV-14,20,Mild,Moderate,Mild,Mild,Moderate
44,Peaky Blinders,2021,8.8,416006,Crime; Drama,60,Series,TV-MA,36,Severe,Severe,Severe,Severe,Moderate
45,What We Do in the Shadows,2021,8.5,50078,Comedy; Fantasy; Horror,30,Series,TV-MA,31,Moderate,Moderate,Moderate,Mild,Mild
46,Titane,2021,7.2,6076,Drama; Horror; Sci-Fi,108,Film,R,-,Severe,Severe,Severe,Moderate,Severe
47,American Crime Story,2021,8.4,87503,Biography; Crime; Drama,42,Series,TV-MA,30,Moderate,Severe,Severe,Moderate,Severe
48,CSI: Vegas,2021,7.8,1313,Crime,0,Series,TV-14,10,No Rate,No Rate,No Rate,No Rate,No Rate
49,Stranger Things,2021,8.7,918729,Drama; Fantasy; Horror,51,Series,TV-14,34,Mild,Moderate,Moderate,Mild,Moderate
50,Titans,2021,7.6,82808,Action; Adventure; Crime,45,Series,TV-MA,37,Moderate,Severe,Severe,Mild,Moderate
51,Goliath,2021,8.2,40575,Drama,60,Series,TV-MA,32,Moderate,Moderate,Severe,Severe,Moderate
52,Breaking Bad,2021,9.4,1593305,Crime; Drama; Thriller,49,Series,TV-MA,62,Mild,Severe,Moderate,Severe,Severe
53,On My Block,2021,8.0,13772,Comedy; Drama,30,Series,TV-14,38,Mild,Moderate,Moderate,Moderate,Mild
54,Old,2021,5.8,52713,Drama; Horror; Mystery,108,Film,PG-13,-,Mild,Moderate,Mild,None,Moderate
55,Y: The Last Man,2021,6.3,7780,Action; Adventure; Drama,60,Series,TV-14,10,Mild,Moderate,Moderate,No Rate,No Rate
56,The Rookie,2021,8.0,27281,Comedy; Crime; Drama,43,Series,TV-14,59,Mild,Moderate,Mild,Moderate,Mild
57,No One Gets Out Alive,2021,5.3,7573,Drama; Horror; Mystery,85,Film,R,-,None,Severe,Severe,No Rate,Severe
58,Law & Order: Special Victims Unit,2021,8.0,92115,Crime; Drama; Mystery,60,Series,TV-14,502,Moderate,Moderate,Moderate,Moderate,Severe
59,Hocus Pocus,1993,6.9,110741,Comedy; Family; Fantasy,96,Film,PG,-,Mild,Mild,Mild,Mild,Moderate
60,The Office,1993,8.9,475207,Comedy,22,Series,TV-14,188,Mild,None,Mild,Mild,None
61,Chicago Fire,1993,8.0,46774,Action; Drama,43,Series,TV-14,202,Mild,Moderate,Mild,Mild,Mild
62,Dune,1984,6.4,142157,Action; Adventure; Sci-Fi,137,Film,PG-13,-,Mild,Moderate,None,Mild,Moderate
63,You,1984,7.7,173763,Crime; Drama; Romance,45,Series,TV-MA,31,Moderate,Moderate,Mild,Mild,Moderate
64,Den skyldige,2018,7.5,52965,Crime; Drama; Thriller,85,Film,R,-,None,None,Mild,None,Moderate
65,Quantum of Solace,2008,6.6,424649,Action; Adventure; Thriller,106,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
66,Doom Patrol,2008,7.9,43676,Action; Adventure; Comedy,60,Series,TV-MA,35,Moderate,Severe,Severe,Mild,Moderate
67,Yellowstone,2008,8.6,48060,Drama; Western,60,Series,TV-MA,32,Moderate,Moderate,Severe,Moderate,Moderate
68,The Suicide Squad,2021,7.3,224344,Action; Adventure; Comedy,132,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
69,Friends,2021,8.8,903947,Comedy; Romance,22,Series,TV-PG,235,Mild,None,Mild,Mild,None
70,Eternals,2021,0.0,0,Action; Adventure; Drama,157,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
71,Brooklyn Nine-Nine,2021,8.4,267096,Comedy; Crime,22,Series,TV-14,153,Mild,Mild,Mild,Mild,Mild
72,Cruella,2021,7.4,174071,Adventure; Comedy; Crime,134,Film,PG-13,-,None,Mild,Mild,Mild,Mild
73,The Blacklist,2021,8.0,219628,Crime; Drama; Mystery,43,Series,TV-14,177,None,Moderate,Mild,Mild,Mild
74,Supernatural,2021,8.4,411255,Drama; Fantasy; Horror,44,Series,TV-14,327,Mild,Moderate,Mild,Mild,Moderate
75,Downton Abbey,2021,8.7,180688,Drama; Romance,58,Series,TV-PG,52,Mild,Mild,Mild,Mild,Mild
76,Animal Kingdom,2021,8.2,30515,Crime; Drama,60,Series,TV-MA,75,Moderate,Moderate,Moderate,Severe,Moderate
77,Criminal Minds,2021,8.1,177854,Crime; Drama; Mystery,42,Series,TV-14,323,Mild,Severe,Mild,Mild,Severe
78,Halloween,1978,7.7,248788,Horror; Thriller,91,Film,R,-,Moderate,Moderate,Mild,Mild,Severe
79,Vigil,1978,7.3,10126,Crime; Drama; Mystery,0,Series,TV-MA,6,Mild,Moderate,Moderate,Moderate,Moderate
80,Infinite,2021,5.5,32451,Action; Sci-Fi; Thriller,106,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
81,V/H/S/94,2021,5.5,3196,Horror; Mystery; Thriller,103,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
82,The Good Doctor,2021,8.1,78703,Drama,41,Series,TV-14,80,Mild,Moderate,Mild,Mild,Mild
83,Dexter,2021,8.6,678377,Crime; Drama; Mystery,53,Series,TV-MA,96,Moderate,Severe,Severe,Mild,Severe
84,The Green Knight,2021,6.6,53565,Adventure; Drama; Fantasy,130,Film,R,-,Moderate,Moderate,None,Mild,Moderate
85,Last Man Down,2021,0.0,0,Action,87,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
86,The French Dispatch,2021,7.4,1370,Comedy; Drama; Romance,108,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
87,The Boys,2021,8.7,316047,Action; Crime; Drama,60,Series,TV-MA,24,Severe,Severe,Severe,Moderate,Severe
88,Ridley Road,2021,6.6,704,Thriller,0,Series,None,4,No Rate,No Rate,No Rate,No Rate,No Rate
89,Vikings,2021,8.5,472761,Action; Adventure; Drama,44,Series,TV-MA,93,Severe,Severe,Mild,Mild,Severe
90,Spider-Man: No Way Home,2021,0.0,0,Action; Adventure; Sci-Fi,0,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
91,Silent Witness,2021,7.8,7917,Crime; Drama; Mystery,120,Series,TV-14,232,Severe,Severe,Moderate,Moderate,Severe
92,Ghosts,2021,7.0,1343,Comedy; Fantasy,0,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate
93,The Card Counter,2021,6.2,9236,Crime; Drama; Thriller,111,Film,R,-,Moderate,Moderate,Moderate,Mild,Severe
94,Lamb,2021,6.7,2251,Drama; Horror; Mystery,106,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
95,Midsomer Murders,2021,7.8,28198,Crime; Drama; Mystery,90,Series,TV-14,132,Mild,Moderate,Mild,Mild,Moderate
96,Rick and Morty,2021,9.2,436882,Animation; Adventure; Comedy,23,Series,TV-MA,52,Moderate,Severe,Severe,Severe,Moderate
97,After We Fell,2021,5.0,2719,Drama,98,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
98,Riverdale,2021,6.7,130524,Crime; Drama; Mystery,45,Series,TV-14,98,Moderate,Moderate,Mild,Moderate,Moderate
99,The Harder They Fall,2021,5.2,315,Drama; Western,130,Film,R,-,Mild,Severe,Moderate,Moderate,Severe
100,Licorice Pizza,2021,0.0,0,Comedy; Drama,0,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
101,Chicago Med,2021,7.6,20080,Drama,43,Series,TV-14,126,Mild,Moderate,Mild,Mild,Moderate
102,The Lost Symbol,2021,6.7,2851,Action; Adventure; Drama,0,Series,TV-PG,8,None,Mild,Mild,None,Mild
103,Star Wars: Visions,2021,7.2,9175,Animation; Action; Adventure,0,Series,TV-PG,9,None,Mild,None,No Rate,Mild
104,Promising Young Woman,2020,7.5,132936,Crime; Drama; Thriller,113,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
105,Modern Family,2020,8.4,388093,Comedy; Drama; Romance,22,Series,TV-PG,250,Mild,None,Mild,Mild,None
106,The Mandalorian,2020,8.8,359850,Action; Adventure; Sci-Fi,40,Series,TV-14,24,None,Moderate,None,None,Moderate
107,Queenpins,2021,6.2,3525,Comedy; Crime,110,Film,R,-,None,None,Moderate,None,None
108,The Big Bang Theory,2021,8.1,753761,Comedy; Romance,22,Series,TV-PG,280,Mild,None,Mild,Mild,None
109,The Wire,2021,9.3,306334,Crime; Drama; Thriller,59,Series,TV-MA,60,Severe,Severe,Severe,Severe,Severe
110,Doctor Who,2021,8.6,207605,Adventure; Drama; Family,45,Series,TV-PG,200,None,Mild,Mild,None,Moderate
111,Candyman,2021,6.0,35936,Horror; Thriller,91,Film,R,-,None,Severe,Moderate,Mild,Severe
112,The White Lotus,2021,7.7,37058,Comedy; Drama,353,Series,TV-MA,7,Moderate,Mild,Moderate,Severe,None
113,The Witcher,2021,8.2,353732,Action; Adventure; Fantasy,60,Series,TV-MA,17,Severe,Severe,Moderate,Mild,Moderate
114,The Starling,2021,6.3,6994,Comedy; Drama,102,Film,PG-13,-,Mild,None,Mild,Mild,None
115,Kate,2021,6.3,41301,Action; Adventure; Crime,106,Film,R,-,Mild,Severe,Severe,Mild,Moderate
116,The Sandman,2021,0.0,0,Action; Adventure; Drama,0,Series,None,11,No Rate,No Rate,No Rate,No Rate,No Rate
117,Knives Out,2019,7.9,537031,Comedy; Crime; Drama,130,Film,PG-13,-,None,Mild,Moderate,Mild,Mild
118,New Amsterdam,2019,8.1,30554,Drama,43,Series,TV-14,61,Mild,Moderate,Mild,Moderate,Moderate
119,Cry Macho,2021,5.8,13148,Drama; Thriller; Western,104,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
120,Castle,2021,8.1,146732,Comedy; Crime; Drama,43,Series,TV-14,173,Mild,Moderate,Mild,Mild,Moderate
121,Black Mirror,2021,8.8,482062,Drama; Sci-Fi; Thriller,60,Series,TV-MA,22,Severe,Severe,Severe,Mild,Severe
122,Law & Order: Organized Crime,2021,7.6,4267,Crime; Drama; Mystery,0,Series,TV-14,14,Mild,Moderate,Moderate,Moderate,Moderate
123,Till Death,2021,5.8,12586,Horror; Thriller,88,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
124,The Voyeurs,2021,5.9,10281,Drama; Mystery; Thriller,120,Film,R,-,Severe,Moderate,Mild,Moderate,Moderate
125,The Crown,2021,8.6,176135,Biography; Drama; History,58,Series,TV-MA,60,Moderate,Mild,Mild,Mild,Mild
126,Better Call Saul,2021,8.8,359684,Crime; Drama,46,Series,TV-MA,63,Mild,Moderate,Moderate,Moderate,Moderate
127,The Handmaid's Tale,2021,8.4,204512,Drama; Sci-Fi; Thriller,60,Series,TV-MA,47,Severe,Severe,Moderate,Mild,Severe
128,Lost,2021,8.3,520422,Adventure; Drama; Fantasy,44,Series,TV-14,119,Mild,Moderate,Mild,Moderate,Moderate
129,Outlander,2021,8.4,138887,Drama; Fantasy; Romance,64,Series,TV-MA,87,Severe,Severe,Moderate,Mild,Moderate
130,The Simpsons,2021,8.6,381626,Animation; Comedy,22,Series,TV-PG,731,Moderate,Moderate,Mild,Moderate,Mild
131,Dear Evan Hansen,2021,6.0,5468,Drama; Musical,137,Film,PG-13,-,Mild,None,Mild,Mild,Mild
132,CSI: Crime Scene Investigation,2021,7.6,80011,Crime; Drama; Mystery,60,Series,TV-14,336,Mild,Severe,Mild,Mild,Moderate
133,Loki,2021,8.3,208457,Action; Adventure; Fantasy,0,Series,TV-14,7,None,Moderate,Mild,None,Moderate
134,It's Always Sunny in Philadelphia,2021,8.8,201983,Comedy,22,Series,TV-MA,157,Moderate,Mild,Severe,Severe,Mild
135,Hypnotic,2021,0.0,0,Drama; Horror; Thriller,88,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
136,Superstore,2021,7.8,39602,Comedy,22,Series,TV-14,113,Mild,Mild,Mild,Mild,None
137,The Resident,2021,7.7,22186,Drama,60,Series,TV-14,76,Mild,Mild,Mild,Mild,Mild
138,Gisaengchung,2019,8.6,669620,Comedy; Drama; Thriller,132,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
139,Mr. Robot,2019,8.5,354297,Crime; Drama; Thriller,49,Series,TV-MA,45,Moderate,Severe,Severe,Severe,Severe
140,Last Night in Soho,2021,7.4,1122,Drama; Horror; Mystery,116,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
141,Titanic,1997,7.8,1096676,Drama; Romance,194,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Severe
142,Shiddat,2021,8.0,8066,Romance,146,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
143,Scream,2022,0.0,0,Horror; Mystery; Thriller,120,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
144,Ozark,2022,8.4,214799,Crime; Drama; Thriller,60,Series,TV-MA,44,Severe,Severe,Severe,Severe,Severe
145,Rise of the Footsoldier: Origins,2021,6.4,1894,Action; Crime; Drama,107,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
146,F9,2021,5.2,97696,Action; Adventure; Crime,143,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
147,Shingeki no kyojin,2021,9.0,255267,Animation; Action; Adventure,24,Series,TV-MA,86,Mild,Severe,Moderate,Mild,Severe
148,365 dni,2020,3.3,67739,Drama; Romance,114,Film,TV-MA,-,Severe,Mild,Moderate,Moderate,Mild
149,Archer,2020,8.6,144917,Animation; Action; Comedy,22,Series,TV-MA,135,Moderate,Severe,Severe,Severe,Moderate
150,How I Met Your Mother,2020,8.3,635038,Comedy; Romance,22,Series,TV-14,208,Moderate,None,Mild,Moderate,None
151,Chehre,2021,6.6,21358,Drama; Mystery; Thriller,139,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
152,Young Sheldon,2021,7.5,41356,Comedy,30,Series,TV-PG,90,Mild,None,Mild,Mild,None
153,The Batman,2022,0.0,0,Action; Crime; Drama,0,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
154,Black Mafia Family,2022,6.8,930,Biography; Crime; Drama,0,Series,None,9,No Rate,No Rate,No Rate,No Rate,No Rate
155,Manifest,2022,7.1,39468,Drama; Mystery; Sci-Fi,43,Series,TV-14,62,Mild,Mild,Mild,None,Mild
156,S.W.A.T.,2022,7.1,18353,Action; Adventure; Crime,43,Series,TV-14,89,Mild,Moderate,Mild,Mild,Moderate
157,Friday Night Lights,2022,8.6,60640,Drama; Sport,44,Series,TV-14,76,Mild,Mild,Mild,Moderate,None
158,9-1-1,2022,7.8,26981,Action; Drama; Thriller,43,Series,TV-14,65,Mild,Moderate,Mild,Mild,Moderate
159,Heat,1995,8.2,609446,Crime; Drama; Thriller,170,Film,R,-,Mild,Severe,Severe,Mild,Moderate
160,Old Henry,2021,7.2,4233,Western,99,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
161,Chicago P.D.,2021,8.1,32212,Action; Crime; Drama,43,Series,TV-14,171,Mild,Moderate,Mild,Moderate,Moderate
162,Shameless,2021,8.5,217452,Comedy; Drama,46,Series,TV-MA,134,Severe,Moderate,Severe,Severe,Moderate
163,The Expanse,2021,8.5,123865,Drama; Mystery; Sci-Fi,60,Series,TV-14,62,Moderate,Moderate,Moderate,Mild,Moderate
164,Muppets Haunted Mansion,2021,6.7,2929,Adventure; Comedy; Family,52,Film,TV-PG,-,None,Mild,Mild,None,Moderate
165,Westworld,2021,8.6,453101,Drama; Mystery; Sci-Fi,62,Series,TV-MA,35,Severe,Severe,Severe,Moderate,Moderate
166,American Rust,2021,7.0,1915,Crime; Drama,0,Series,TV-MA,9,Severe,No Rate,No Rate,No Rate,No Rate
167,Ghosts,2021,8.2,8577,Comedy; Fantasy,30,Series,TV-14,19,Mild,Mild,Mild,Mild,None
168,Fear the Walking Dead,2021,6.9,120421,Drama; Horror; Sci-Fi,44,Series,TV-MA,101,Mild,Severe,Mild,Mild,Severe
169,Cinderella,2021,4.2,33916,Adventure; Comedy; Family,113,Film,PG,-,Mild,None,Mild,None,None
170,Bridgerton,2021,7.3,89503,Drama; Romance,60,Series,TV-MA,16,Severe,Mild,Mild,Mild,Mild
171,Halloween,2018,6.5,132934,Crime; Horror; Thriller,106,Film,R,-,Mild,Severe,Moderate,Mild,Severe
172,The Addams Family,2019,5.8,33649,Animation; Adventure; Comedy,86,Film,PG,-,None,Mild,None,Mild,Mild
173,House M.D.,2019,8.7,432280,Drama; Mystery,44,Series,TV-14,176,Mild,Moderate,Mild,Moderate,Moderate
174,Good Girls,2019,7.8,44113,Comedy; Crime; Drama,43,Series,TV-14,50,Mild,Moderate,Mild,Moderate,Mild
175,The Flash,2019,7.6,325626,Action; Adventure; Drama,43,Series,TV-PG,165,Mild,Mild,Mild,Mild,Mild
176,Scream,1996,7.3,304350,Horror; Mystery,111,Film,R,-,Mild,Severe,Moderate,Mild,Severe
177,Suits,1996,8.4,380478,Comedy; Drama,44,Series,TV-14,134,Mild,Mild,Moderate,Moderate,None
178,Once Upon a Time... in Hollywood,2019,7.6,643564,Comedy; Drama,161,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
179,My Little Pony: A New Generation,2021,7.0,2247,Animation; Adventure; Comedy,90,Film,PG,-,None,Mild,None,None,Mild
180,Jungle Cruise,2021,6.6,113396,Action; Adventure; Comedy,127,Film,PG-13,-,None,Moderate,None,Mild,Moderate
181,Gilmore Girls,2021,8.1,110011,Comedy; Drama,44,Series,TV-PG,154,Mild,None,Mild,Mild,None
182,True Detective,2021,8.9,524326,Crime; Drama; Mystery,55,Series,TV-MA,24,Severe,Severe,Severe,Severe,Severe
183,Bones,2021,7.8,147495,Comedy; Crime; Drama,40,Series,TV-14,245,Mild,Severe,Mild,Mild,Moderate
184,American Horror Stories,2021,6.1,12381,Drama; Horror; Thriller,45,Series,TV-MA,8,Moderate,Severe,Severe,Moderate,Severe
185,Intrusion,2021,5.2,8561,Drama; Thriller,92,Film,TV-14,-,None,Mild,Mild,Mild,Moderate
186,Leverage: Redemption,2021,8.8,13554,Crime; Mystery; Thriller,0,Series,TV-14,16,Moderate,Moderate,None,Moderate,Mild
187,Blade Runner 2049,2017,8.0,502751,Action; Drama; Mystery,164,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
188,The X Files,2017,8.6,209643,Crime; Drama; Mystery,45,Series,TV-14,217,Mild,Moderate,Mild,Mild,Severe
189,Ordinary Joe,2017,6.6,1391,Drama,0,Series,TV-G,7,Mild,No Rate,No Rate,No Rate,No Rate
190,Schitt's Creek,2017,8.5,97987,Comedy,22,Series,TV-14,80,Mild,None,Moderate,Mild,None
191,The Matrix Resurrections,2021,0.0,0,Action; Sci-Fi,140,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
192,The Vampire Diaries,2021,7.7,298419,Drama; Fantasy; Horror,43,Series,TV-14,171,Moderate,Moderate,Mild,Moderate,Moderate
193,Grantchester,2021,7.9,11403,Crime; Drama; Mystery,45,Series,TV-14,39,Mild,Mild,Mild,Severe,Mild
194,Blue Bayou,2021,7.1,1833,Drama,117,Film,R,-,No Rate,Moderate,Moderate,Mild,Moderate
195,The Matrix,1999,8.7,1767660,Action; Sci-Fi,136,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
196,Manhunt,1999,7.5,6268,Biography; Crime; Drama,45,Series,TV-14,7,None,Mild,Severe,Mild,Mild
197,ER,1999,7.7,54651,Drama; Romance,44,Series,TV-14,331,Mild,Moderate,Mild,Mild,Moderate
198,One of Us Is Lying,1999,6.6,537,Crime; Drama; Mystery,0,Series,None,9,No Rate,No Rate,No Rate,No Rate,No Rate
199,The Wolf of Wall Street,2013,8.2,1271608,Biography; Comedy; Crime,180,Film,R,-,Severe,Moderate,Severe,Severe,Moderate
200,The Last Kingdom,2013,8.4,98462,Action; Drama; History,60,Series,TV-MA,46,Moderate,Severe,Mild,Mild,Moderate
201,The Shawshank Redemption,1994,9.3,2474122,Drama,142,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
202,Star Trek: The Next Generation,1994,8.6,109337,Action; Adventure; Mystery,44,Series,TV-PG,176,Mild,Mild,Mild,Mild,Moderate
203,The Walking Dead: World Beyond,1994,4.2,11306,Drama; Horror; Sci-Fi,60,Series,TV-14,20,Mild,Moderate,Mild,Mild,Moderate
204,FBI,1994,6.9,13075,Action; Crime; Drama,60,Series,TV-14,61,None,Moderate,Mild,Mild,Moderate
205,Fargo,1994,8.9,347559,Crime; Drama; Thriller,53,Series,TV-MA,41,Mild,Severe,Moderate,Mild,Severe
206,Joker,2019,8.4,1077534,Crime; Drama; Thriller,122,Film,R,-,Mild,Severe,Moderate,Moderate,Severe
207,Harry Potter and the Sorcerer's Stone,2001,7.6,702396,Adventure; Family; Fantasy,152,Film,PG,-,None,Mild,Mild,None,Mild
208,Curb Your Enthusiasm,2001,8.7,111076,Comedy,28,Series,TV-MA,110,Moderate,None,Severe,Mild,None
209,Boruto: Naruto Next Generations,2001,7.1,16068,Animation; Action; Adventure,23,Series,TV-14,221,None,Moderate,Mild,Mild,Moderate
210,Zodiac,2007,7.7,499163,Crime; Drama; Mystery,157,Film,R,-,Mild,Moderate,Moderate,Moderate,Severe
211,Supergirl,2007,6.2,117623,Action; Adventure; Drama,43,Series,TV-PG,126,Mild,Mild,Mild,Mild,Mild
212,Snake Eyes: G.I. Joe Origins,2021,5.4,24928,Action; Adventure; Fantasy,121,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
213,The Addams Family,1991,6.9,143815,Comedy; Fantasy,99,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
214,Brassic,1991,8.3,6334,Comedy; Drama,43,Series,TV-MA,20,Moderate,Moderate,Severe,Severe,Mild
215,Sons of Anarchy,1991,8.5,275596,Crime; Drama; Thriller,45,Series,TV-MA,92,Moderate,Severe,Moderate,Severe,Severe
216,Midsommar,2019,7.1,256462,Drama; Horror; Mystery,148,Film,R,-,Severe,Severe,Moderate,Severe,Severe
217,Spencer,2021,6.7,1044,Biography; Drama; Romance,111,Film,R,-,Severe,None,Severe,Moderate,Severe
218,Chapelwaite,2021,7.5,3531,Drama; Horror; Mystery,0,Series,TV-MA,10,None,Severe,Mild,Mild,Moderate
