index,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
3558,Robin Hood: Men in Tights,1993,6.7,120960,Adventure; Comedy; Musical,104,Film,PG-13,-,Moderate,Mild,Moderate,Mild,Mild
3559,Roma,2018,7.7,148948,Drama,135,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
3560,Ghostland,2018,6.4,26931,Drama; Horror; Mystery,91,Film,Not Rated,-,Moderate,Severe,Moderate,Mild,Severe
3561,Brooklyn,2015,7.5,136792,Drama; Romance,117,Film,PG-13,-,Mild,None,Mild,Mild,Mild
3562,St. Elmo's Fire,1985,6.4,39830,Drama; Romance,110,Film,R,-,Mild,Mild,Moderate,Moderate,Mild
3563,Nacho Libre,2006,5.8,84792,Comedy; Family; Sport,92,Film,PG,-,None,Mild,None,Mild,Mild
3564,The Dictator,2012,6.4,290362,Comedy,83,Film,R,-,Severe,Mild,Moderate,Mild,None
3565,Happy!,2012,8.2,35862,Action; Comedy; Crime,60,Series,TV-MA,18,Moderate,Severe,Severe,Severe,Severe
3566,The Inbetweeners,2012,8.4,83570,Comedy,25,Series,TV-14,18,Moderate,Mild,Severe,Moderate,None
3567,Before Midnight,2013,7.9,149185,Drama; Romance,109,Film,R,-,Moderate,None,Moderate,Mild,None
3568,Harlots,2013,7.7,7915,Drama,45,Series,TV-MA,24,Severe,No Rate,No Rate,No Rate,No Rate
3569,The Mighty Ducks,1992,6.6,63503,Comedy; Drama; Family,104,Film,PG,-,None,Mild,Moderate,Mild,None
3570,Crank,2006,6.9,242113,Action; Crime; Thriller,88,Film,R,-,Severe,Severe,Severe,Severe,Severe
3571,L'iniziazione,1986,5.8,1441,Comedy,95,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
3572,Joy Ride,2001,6.6,66954,Action; Mystery; Thriller,97,Film,R,-,Mild,Moderate,Severe,Mild,Severe
3573,Jessie,2001,6.0,14245,Comedy; Drama; Family,30,Series,TV-G,98,Mild,None,None,None,Mild
3574,The Bone Collector,1999,6.7,161944,Crime; Drama; Mystery,118,Film,R,-,None,Severe,Moderate,Mild,Moderate
3575,Poltergeist II: The Other Side,1986,5.7,26214,Horror,91,Film,PG-13,-,Mild,Moderate,Mild,Mild,Severe
3576,The Hills Have Eyes,1977,6.3,32811,Horror; Thriller,90,Film,R,-,Mild,Severe,Moderate,Mild,Severe
3577,The Circle,2017,5.4,88890,Drama; Sci-Fi; Thriller,110,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
3578,Spell,2020,5.5,5308,Horror; Thriller,91,Film,R,-,Mild,Severe,Mild,None,Moderate
3579,The Crush,1993,5.8,19102,Drama; Thriller,89,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
3580,Criminal,2016,6.3,63252,Action; Sci-Fi; Thriller,113,Film,R,-,None,Severe,Severe,Mild,Moderate
3581,Tell Me a Story,2016,7.2,8317,Thriller,52,Series,TV-MA,20,Moderate,Moderate,Moderate,Moderate,Moderate
3582,Dark Shadows,2016,8.0,4449,Drama; Fantasy; Horror,30,Series,TV-PG,1230,Moderate,Mild,None,Mild,Moderate
3583,Despicable Me 2,2013,7.3,381850,Animation; Adventure; Comedy,98,Film,PG,-,Mild,Mild,None,Mild,Mild
3584,My Bloody Valentine,2009,5.4,55409,Horror; Mystery; Thriller,101,Film,R,-,Severe,Severe,Severe,Moderate,Severe
3585,South Beach Love,2021,6.0,321,Drama; Romance,83,Film,TV-G,-,None,None,None,None,None
3586,Absentia,2011,5.8,17873,Drama; Horror; Mystery,87,Film,R,-,None,Moderate,Moderate,Mild,Moderate
3587,The Beguiled,2017,6.3,55377,Drama; Thriller; War,93,Film,R,-,Mild,Moderate,Mild,Mild,Mild
3588,Professor Marston and the Wonder Women,2017,7.1,25169,Biography; Drama; History,108,Film,R,-,Moderate,None,Mild,Mild,None
3589,The Missing,2003,6.5,34710,Adventure; Thriller; Western,137,Film,R,-,Mild,Moderate,None,None,Moderate
3590,Village of the Damned,1995,5.7,30594,Horror; Sci-Fi; Thriller,98,Film,R,-,None,Moderate,Mild,Mild,Moderate
3591,Romance,1999,5.3,10488,Drama; Romance,84,Film,Unrated,-,Severe,None,Mild,Mild,Mild
3592,Raising Hope,1999,8.0,36252,Comedy; Family,22,Series,TV-PG,88,Mild,Mild,Mild,Mild,Mild
3593,Something's Gotta Give,2003,6.7,116736,Comedy; Drama; Romance,128,Film,PG-13,-,Moderate,None,Mild,Mild,None
3594,M - Eine Stadt sucht einen Mörder,1931,8.3,151051,Crime; Mystery; Thriller,117,Film,Passed,-,None,Mild,Mild,Mild,Moderate
3595,Burn After Reading,2008,7.0,321308,Comedy; Crime; Drama,96,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
3596,Gentlemen Prefer Blondes,1953,7.2,34979,Comedy; Musical; Romance,91,Film,Approved,-,Mild,None,None,Mild,None
3597,Eastern Promises,2007,7.6,235060,Action; Crime; Drama,100,Film,R,-,Severe,Severe,Severe,Moderate,Moderate
3598,This Is Spinal Tap,1984,7.9,134997,Comedy; Music,82,Film,R,-,Mild,None,Moderate,Mild,None
3599,Before Sunset,2004,8.1,248777,Drama; Romance,80,Film,R,-,Mild,None,Moderate,Mild,None
3600,The Kissing Booth 3,2021,4.7,12397,Comedy; Romance,112,Film,TV-14,-,Mild,None,Moderate,Mild,None
3601,Undercover,2021,8.2,1617,Action; Crime; Drama,50,Series,TV-MA,8,Mild,Severe,Severe,Severe,Severe
